NO,식품종류,식품명,상세분류,1회제공량,kcal,단백질(g),지방(g),탄수화물(g)
14049,가공식품,FP 상어모양 구미젤리,젤리,10.0,3.21,0.06,0,0.75
14050,가공식품,가루다 계란맛 코팅 땅콩,스낵과자,10.0,5.33,0.1,0.27,0.57
14051,가공식품,가루다 마늘맛 코팅 땅콩,스낵과자,10.0,5.33,0.13,0.31,0.5
14052,가공식품,가스트로 화인게백 쿠키,쿠키,30.0,42.9,0.54,2.61,4.32
14053,가공식품,가토세크바리에,쿠키,30.0,51.84,0.58,3.32,4.91
14054,가공식품,갈레뜨,비스킷,30.0,44.07,0.62,1.86,6.21
14055,가공식품,갈레뜨 브르통,비스킷,30.0,41.62,0.68,2.03,5.18
14056,가공식품,갈레뜨 에뻬세,비스킷,30.0,48.15,0.54,2.7,5.4
14057,가공식품,갈레테 화인,비스킷,30.0,44.07,0.68,1.92,6.08
14058,가공식품,갈릭 브래드스틱,비스킷,30.0,39.24,0.9,1.26,6.01
14059,가공식품,갈릭 브레드칩,스낵과자,30.0,49.5,0.69,2.77,5.88
14060,가공식품,갈린코 칩스딜라이트 커피 카라멜칩 쿠키,쿠키,30.0,47.47,0.68,2.47,5.62
14061,가공식품,감미칩,스낵과자,30.0,51,0.3,3.3,5.1
14062,가공식품,감씨형 쌀과자,스낵과자,30.0,31.5,0.76,0.08,6.9
14063,가공식품,감자 고래밥,스낵과자,30.0,92.94,1.37,2.68,16.29
14064,가공식품,감자깡,스낵과자,30.0,150,2,6,22
14065,가공식품,감자러스크,스낵과자,30.0,44.31,0.46,2.12,6
14066,가공식품,감자미,스낵과자,30.0,48.96,0.61,2.97,4.95
14067,가공식품,감자미 새콤한맛,스낵과자,30.0,47.52,0.61,3.17,4.64
14068,가공식품,"강정,깨엿강정, 깨강정",스낵과자,30.0,41.85,0.54,1.44,6.57
14069,가공식품,"강정,땅콩엿강정, 땅콩강정",스낵과자,30.0,39.15,0.63,0.99,6.93
14070,가공식품,개구리 모양 젤리,젤리,10.0,3.25,0.04,0,0.78
14071,가공식품,갸또 화이트,기타과자,30.0,222.3,2.63,12.59,24.67
14072,가공식품,건강 현미5곡 크리스피롤 녹차맛,스낵과자,30.0,44,0.45,2.66,4.46
14073,가공식품,건강 현미5곡 크리스피롤 오리지날,스낵과자,30.0,44,0.45,2.66,4.46
14074,가공식품,건빵,비스킷,30.0,37.8,0.9,0.6,7.2
14075,가공식품,"건빵,건빵, 그대로,새건빵",비스킷,30.0,35.28,0.93,0.57,6.31
14076,가공식품,검은 참깨 모나카,한과류,30.0,31.18,0.64,0.51,6.11
14077,가공식품,게랑드 솔티드 버터 캬라멜 쿠키,쿠키,30.0,42.12,0.43,2.16,5.04
14078,가공식품,게메즈 에낙,스낵과자,30.0,45,0.56,1.97,5.62
14079,가공식품,겐지파이,기타과자,30.0,50.57,0.56,3.13,5.01
14080,가공식품,계란쿠키,쿠키,30.0,43.39,0.58,1.9,6.01
14081,가공식품,계란후라이모양 젤리,젤리,10.0,3.25,0.04,0,0.78
14082,가공식품,계피향 사탕,사탕,10.0,3.85,0,0,0.98
14083,가공식품,계피향 사탕,사탕,10.0,3.85,0,0,1
14084,가공식품,고 내츄럴리 유기농 하드 캔디,사탕,10.0,3.75,0,0,0.94
14085,가공식품,고구마깡,스낵과자,30.0,43,0.4,1.8,6.4
14086,가공식품,고구마칩,스낵과자,30.0,46.5,0.3,2.4,6.3
14087,가공식품,고다스 길드 오리지날 와플 미니,비스킷,30.0,42.53,0.45,2.03,5.62
14088,가공식품,고드름 쥬시,빙과,100.0,6.25,0,0,1.75
14089,가공식품,고래모양 구미젤리,젤리,10.0,3.33,0.03,0,0.77
14090,가공식품,고래밥 볶음,스낵과자,30.0,102.47,1.67,2.73,18.18
14091,가공식품,고르시아,비스킷,30.0,42.71,0.57,1.55,6.66
14092,가공식품,고마도라꾸,스낵과자,30.0,41.14,1.03,1.29,6.43
14093,가공식품,고마도락꾸,스낵과자,30.0,41.91,0.9,1.39,6.45
